0x20030001 CFG-TMODE-MODE
0x20030002 CFG-TMODE-POS_TYPE
0x40030003 CFG-TMODE-ECEF_X
0x40030004 CFG-TMODE-ECEF_Y
0x40030005 CFG-TMODE-ECEF_Z
0x20030006 CFG-TMODE-ECEF_X_HP
0x20030007 CFG-TMODE-ECEF_Y_HP
0x20030008 CFG-TMODE-ECEF_Z_HP
0x40030009 CFG-TMODE-LAT
0x4003000A CFG-TMODE-LON
0x4003000B CFG-TMODE-HEIGHT
0x2003000C CFG-TMODE-LAT_HP
0x2003000D CFG-TMODE-LON_HP
0x2003000E CFG-TMODE-HEIGHT_HP
0x4003000F CFG-TMODE-FIXED_POS_ACC
0x40030010 CFG-TMODE-SVIN_MIN_DUR
0x40030011 CFG-TMODE-SVIN_ACC_LIMIT
0x30050001 CFG-TP-ANT_CABLEDELAY
0x40050002 CFG-TP-PERIOD_TP1
0x40050003 CFG-TP-PERIOD_LOCK_TP1
0x40050004 CFG-TP-LEN_TP1
0x40050005 CFG-TP-LEN_LOCK_TP1
0x40050006 CFG-TP-USER_DELAY_TP1
0x10050007 CFG-TP-TP1_ENA
0x10050008 CFG-TP-SYNC_GNSS_TP1
0x10050009 CFG-TP-USE_LOCKED_TP1
0x1005000A CFG-TP-ALIGN_TO_TOW_TP1
0x1005000B CFG-TP-POL_TP1
0x2005000C CFG-TP-TIMEGRID_TP1
0x4005000D CFG-TP-PERIOD_TP2
0x4005000E CFG-TP-PERIOD_LOCK_TP2
0x4005000F CFG-TP-LEN_TP2
0x40050010 CFG-TP-LEN_LOCK_TP2
0x40050011 CFG-TP-USER_DELAY_TP2
0x10050012 CFG-TP-TP2_ENA
0x10050013 CFG-TP-SYNC_GNSS_TP2
0x10050014 CFG-TP-USE_LOCKED_TP2
0x10050015 CFG-TP-ALIGN_TO_TOW_TP2
0x10050016 CFG-TP-POL_TP2
0x20050017 CFG-TP-TIMEGRID_TP2
0x40050018 CFG-TP-PERIOD_TP3
0x40050019 CFG-TP-PERIOD_LOCK_TP3
0x4005001A CFG-TP-LEN_TP3
0x4005001B CFG-TP-LEN_LOCK_TP3
0x4005001C CFG-TP-USER_DELAY_TP3
0x1005001D CFG-TP-TP3_ENA
0x1005001E CFG-TP-SYNC_GNSS_TP3
0x1005001F CFG-TP-USE_LOCKED_TP3
0x10050020 CFG-TP-ALIGN_TO_TOW_TP3
0x10050021 CFG-TP-POL_TP3
0x20050022 CFG-TP-TIMEGRID_TP3
0x20050023 CFG-TP-PULSE_DEF
0x40050024 CFG-TP-FREQ_TP1
0x40050025 CFG-TP-FREQ_LOCK_TP1
0x40050026 CFG-TP-FREQ_TP2
0x40050027 CFG-TP-FREQ_LOCK_TP2
0x40050028 CFG-TP-FREQ_TP3
0x40050029 CFG-TP-FREQ_LOCK_TP3
0x5005002A CFG-TP-DUTY_TP1
0x5005002B CFG-TP-DUTY_LOCK_TP1
0x5005002C CFG-TP-DUTY_TP2
0x5005002D CFG-TP-DUTY_LOCK_TP2
0x5005002E CFG-TP-DUTY_TP3
0x5005002F CFG-TP-DUTY_LOCK_TP3
0x20050030 CFG-TP-PULSE_LENGTH_DEF
0x20050035 CFG-TP-DRSTR_TP1
0x20050036 CFG-TP-DRSTR_TP2
0x10050037 CFG-TP-MSG_ALWAYS
0x30060007 CFG-SFIMU-GYRO_TC_UPDATE_PERIOD
0x20060008 CFG-SFIMU-GYRO_RMSTHDL
0x20060009 CFG-SFIMU-GYRO_FREQUENCY
0x3006000A CFG-SFIMU-GYRO_LATENCY
0x3006000B CFG-SFIMU-GYRO_ACCURACY
0x20060015 CFG-SFIMU-ACCEL_RMSTHDL
0x20060016 CFG-SFIMU-ACCEL_FREQUENCY
0x30060017 CFG-SFIMU-ACCEL_LATENCY
0x30060018 CFG-SFIMU-ACCEL_ACCURACY
0x1006001D CFG-SFIMU-IMU_EN
0x2006001E CFG-SFIMU-IMU_I2C_SCL_PIO
0x2006001F CFG-SFIMU-IMU_I2C_SDA_PIO
0x10060027 CFG-SFIMU-AUTO_MNTALG_ENA
0x4006002D CFG-SFIMU-IMU_MNTALG_YAW
0x3006002E CFG-SFIMU-IMU_MNTALG_PITCH
0x3006002F CFG-SFIMU-IMU_MNTALG_ROLL
0x10070001 CFG-SFODO-COMBINE_TICKS
0x10070003 CFG-SFODO-USE_SPEED
0x10070004 CFG-SFODO-DIS_AUTOCOUNTMAX
0x10070005 CFG-SFODO-DIS_AUTODIRPINPOL
0x10070006 CFG-SFODO-DIS_AUTOSPEED
0x40070007 CFG-SFODO-FACTOR
0x40070008 CFG-SFODO-QUANT_ERROR
0x40070009 CFG-SFODO-COUNT_MAX
0x3007000A CFG-SFODO-LATENCY
0x2007000B CFG-SFODO-FREQUENCY
0x1007000D CFG-SFODO-CNT_BOTH_EDGES
0x3007000E CFG-SFODO-SPEED_BAND
0x1007000F CFG-SFODO-USE_WT_PIN
